EMD_CD,EMD_NM
11110102,신교동
11110104,효자동
11110107,적선동
11110109,누상동
11110111,옥인동
11110114,내자동
11110115,사직동
11110116,도렴동
11110117,당주동
11110118,내수동
11110119,세종로
11110120,신문로1가
11110121,신문로2가
11110122,청진동
11110123,서린동
11110124,수송동
11110125,중학동
11110126,종로1가
11110127,공평동
11110128,관훈동
11110130,와룡동
11110132,운니동
11110136,인사동
11110137,낙원동
11110142,소격동
11110146,가회동
11110148,계동
11110150,훈정동
11110153,돈의동
11110157,인의동
11110160,연지동
11110164,종로6가
11110165,이화동
11110166,연건동
11110168,동숭동
11110170,명륜1가
11110171,명륜2가
11110173,명륜3가
11110174,창신동
11110175,숭인동
11110177,평동
11110181,행촌동
11110182,구기동
11110183,평창동
11110184,부암동
11110186,신영동
11110187,무악동
11140101,무교동
11140102,다동
11140103,태평로1가
11140104,을지로1가
11140105,을지로2가
11140107,삼각동
11140108,수하동
11140109,장교동
11140110,수표동
11140111,소공동
11140112,남창동
11140113,북창동
11140114,태평로2가
11140115,남대문로2가
11140117,남대문로4가
11140118,남대문로5가
11140119,봉래동1가
11140121,회현동1가
11140122,회현동2가
11140124,충무로1가
11140125,충무로2가
11140126,명동1가
11140130,남산동3가
11140131,저동1가
11140132,충무로4가
11140133,충무로5가
11140134,인현동2가
11140138,필동2가
11140139,필동3가
11140140,남학동
11140142,예장동
11140143,장충동1가
11140144,장충동2가
11140145,광희동1가
11140147,쌍림동
11140148,을지로6가
11140149,을지로7가
11140150,을지로4가
11140151,을지로5가
11140153,방산동
11140154,오장동
11140158,충무로3가
11140159,초동
11140162,신당동
11140163,흥인동
11140164,무학동
11140165,황학동
11140166,서소문동
11140167,정동
11140168,순화동
11140169,의주로1가
11140171,중림동
11140173,만리동1가
11140174,만리동2가
11170101,후암동
11170102,용산동2가
11170104,갈월동
11170106,용산동1가
11170107,동자동
11170110,청파동2가
11170111,청파동3가
11170112,원효로1가
11170113,원효로2가
11170114,신창동
11170115,산천동
11170116,청암동
11170117,원효로3가
11170118,원효로4가
11170119,효창동
11170120,도원동
11170122,문배동
11170123,신계동
11170124,한강로1가
11170125,한강로2가
11170126,용산동3가
11170127,용산동5가
11170128,한강로3가
11170129,이촌동
11170130,이태원동
11170131,한남동
11170132,동빙고동
11170133,서빙고동
11170135,용산동6가
11170136,보광동
11200101,상왕십리동
11200102,하왕십리동
11200103,홍익동
11200104,도선동
11200105,마장동
11200106,사근동
11200107,행당동
11200108,응봉동
11200109,금호동1가
11200110,금호동2가
11200112,금호동4가
11200113,옥수동
11200114,성수동1가
11200115,성수동2가
11200118,송정동
11200122,용답동
11215101,중곡동
11215102,능동
11215103,구의동
11215104,광장동
11215105,자양동
11215107,화양동
11215109,군자동
11230101,신설동
11230102,용두동
11230103,제기동
11230104,전농동
11230105,답십리동
11230106,장안동
11230107,청량리동
11230108,회기동
11230109,휘경동
11230110,이문동
11260101,면목동
11260102,상봉동
11260103,중화동
11260104,묵동
11260105,망우동
11260106,신내동
11290101,성북동
11290103,돈암동
11290107,동소문동4가
11290108,동소문동5가
11290109,동소문동6가
11290110,동소문동7가
11290111,삼선동1가
11290112,삼선동2가
11290113,삼선동3가
11290114,삼선동4가
11290116,동선동1가
11290117,동선동2가
11290123,안암동3가
11290125,안암동5가
11290126,보문동4가
11290128,보문동6가
11290129,보문동7가
11290130,보문동1가
11290133,정릉동
11290134,길음동
11290135,종암동
11290136,하월곡동
11290137,상월곡동
11290138,장위동
11290139,석관동
11305101,미아동
11305102,번동
11305103,수유동
11305104,우이동
11320105,쌍문동
11320106,방학동
11320107,창동
11320108,도봉동
11350102,월계동
11350103,공릉동
11350104,하계동
11350105,상계동
11350106,중계동
11380101,수색동
11380102,녹번동
11380103,불광동
11380104,갈현동
11380105,구산동
11380106,대조동
11380107,응암동
11380108,역촌동
11380109,신사동
11380110,증산동
11380114,진관동
11410101,충정로2가
11410102,충정로3가
11410103,합동
11410104,미근동
11410105,냉천동
11410108,영천동
11410109,현저동
11410110,북아현동
11410111,홍제동
11410112,대현동
11410113,대신동
11410114,신촌동
11410116,창천동
11410117,연희동
11410118,홍은동
11410119,북가좌동
11410120,남가좌동
11440101,아현동
11440102,공덕동
11440103,신공덕동
11440104,도화동
11440105,용강동
11440106,토정동
11440107,마포동
11440108,대흥동
11440109,염리동
11440110,노고산동
11440111,신수동
11440112,현석동
11440114,창전동
11440115,상수동
11440118,당인동
11440120,서교동
11440121,동교동
11440122,합정동
11440123,망원동
11440124,연남동
11440125,성산동
11440126,중동
11440127,상암동
11470101,신정동
11470102,목동
11470103,신월동
11500101,염창동
11500102,등촌동
11500103,화곡동
11500104,가양동
11500105,마곡동
11500106,내발산동
11500107,외발산동
11500108,공항동
11500109,방화동
11500110,개화동
11500111,과해동
11500112,오곡동
11500113,오쇠동
11530101,신도림동
11530102,구로동
11530103,가리봉동
11530106,고척동
11530107,개봉동
11530108,오류동
11530109,궁동
11530110,온수동
11530111,천왕동
11530112,항동
11545101,가산동
11545102,독산동
11545103,시흥동
11560101,영등포동
11560102,영등포동1가
11560103,영등포동2가
11560105,영등포동4가
11560106,영등포동5가
11560107,영등포동6가
11560108,영등포동7가
11560109,영등포동8가
11560110,여의도동
11560111,당산동1가
11560112,당산동2가
11560113,당산동3가
11560114,당산동4가
11560115,당산동5가
11560116,당산동6가
11560117,당산동
11560118,도림동
11560119,문래동1가
11560120,문래동2가
11560121,문래동3가
11560122,문래동4가
11560123,문래동5가
11560124,문래동6가
11560125,양평동1가
11560126,양평동2가
11560127,양평동3가
11560128,양평동4가
11560129,양평동5가
11560130,양평동6가
11560132,신길동
11560133,대림동
11590101,노량진동
11590102,상도동
11590104,본동
11590105,흑석동
11590106,동작동
11590107,사당동
11590108,대방동
11590109,신대방동
11620101,봉천동
11620102,신림동
11620103,남현동
11650101,방배동
11650102,양재동
11650103,우면동
11650104,원지동
11650106,잠원동
11650107,반포동
11650108,서초동
11650109,내곡동
11650110,염곡동
11650111,신원동
11680101,역삼동
11680103,개포동
11680104,청담동
11680105,삼성동
11680106,대치동
11680107,신사동
11680108,논현동
11680110,압구정동
11680111,세곡동
11680112,자곡동
11680113,율현동
11680114,일원동
11680115,수서동
11680118,도곡동
11710101,잠실동
11710102,신천동
11710103,풍납동
11710104,송파동
11710105,석촌동
11710106,삼전동
11710107,가락동
11710108,문정동
11710109,장지동
11710111,방이동
11710112,오금동
11710113,거여동
11710114,마천동
11740101,명일동
11740102,고덕동
11740103,상일동
11740105,길동
11740106,둔촌동
11740107,암사동
11740108,성내동
11740109,천호동
11740110,강일동
26110101,영주동
26110105,중앙동2가
26110107,중앙동4가
26110108,중앙동5가
26110109,중앙동6가
26110110,중앙동7가
26110112,동광동2가
26110113,동광동3가
26110116,대청동1가
26110117,대청동2가
26110119,대청동4가
26110120,보수동1가
26110124,부평동2가
26110131,창선동1가
26110134,광복동2가
26110141,남포동6가
26140101,동대신동1가
26140102,동대신동2가
26140103,동대신동3가
26140104,서대신동1가
26140105,서대신동2가
26140106,서대신동3가
26140111,부민동3가
26140112,토성동1가
26140114,토성동3가
26140115,아미동1가
26140116,아미동2가
26140117,토성동4가
26140123,남부민동
26140124,암남동
26170101,초량동
26170102,수정동
26170103,좌천동
26170104,범일동
26200101,대교동1가
26200105,남항동1가
26200106,남항동2가
26200107,남항동3가
26200108,영선동1가
26200109,영선동2가
26200111,영선동4가
26200114,신선동3가
26200117,봉래동3가
26200118,봉래동4가
26200120,청학동
26200121,동삼동
26230101,양정동
26230102,전포동
26230103,부전동
26230104,범천동
26230105,범전동
26230106,연지동
26230107,초읍동
26230108,부암동
26230109,당감동
26230110,가야동
26230111,개금동
26260101,명장동
26260102,안락동
26260104,낙민동
26260106,수안동
26260107,명륜동
26260108,온천동
26260109,사직동
26290106,대연동
26290107,용호동
26290108,용당동
26290109,문현동
26290110,우암동
26290111,감만동
26320101,금곡동
26320102,화명동
26320103,만덕동
26320104,덕천동
26320105,구포동
26350101,반송동
26350102,석대동
26350103,반여동
26350104,재송동
26350105,우동
26350106,중동
26350107,좌동
26350108,송정동
26380101,괴정동
26380102,당리동
26380103,하단동
26380104,신평동
26380105,장림동
26380106,다대동
26380107,구평동
26380108,감천동
26410101,두구동
26410102,노포동
26410103,청룡동
26410104,남산동
26410107,구서동
26410108,장전동
26410109,부곡동
26410110,서동
26410111,금사동
26410112,회동동
26410113,금성동
26440101,대저1동
26440102,대저2동
26440103,강동동
26440104,명지동
26440108,봉림동
26440109,송정동
26440110,화전동
26440111,녹산동
26440112,생곡동
26440113,구랑동
26440114,지사동
26440115,미음동
26440116,범방동
26440117,신호동
26440119,성북동
